area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district
92,1370,2,No,Yes,No,10500000000,23.0,گیشا (کوی نصر)
250,1397,4,Yes,Yes,Yes,50000000000,4.0,سعادت‌آباد
131,1396,3,Yes,Yes,Yes,28000000000,1.0,شهرک غرب
100,1399,2,Yes,Yes,Yes,12000000000,5.0,باغ فیض
90,1402,2,Yes,Yes,Yes,5500000000,4.0,جی
73,1392,2,No,Yes,Yes,1460000000,3.0,حسن‌آباد
230,1398,3,Yes,Yes,Yes,293478000,,نیاوران
300,1403,3,Yes,Yes,Yes,99500000000,5.0,سعادت‌آباد
116,1385,2,No,Yes,Yes,80172000,,اختیاریه
95,1403,2,Yes,Yes,Yes,1578000,,شیخ هادی
220,1401,3,Yes,Yes,Yes,287500000,,سعادت‌آباد
60,1403,2,Yes,Yes,Yes,101666000,,جیحون
250,1401,3,Yes,Yes,Yes,290000000,,سعادت‌آباد
138,1390,3,Yes,Yes,Yes,112318000,,پونک
246,1397,3,Yes,Yes,Yes,49500000000,16.0,ولنجک
74,1380,2,No,Yes,Yes,7230000000,4.0,کوی مهران
91,1398,2,Yes,Yes,No,4550000000,25.0,مقدم
59,1403,1,Yes,Yes,Yes,101694000,,آذربایجان
150,1398,3,Yes,Yes,Yes,11400000000000,35.0,شهرک ولیعصر
250,1393,3,Yes,Yes,Yes,55000000000,88.0,پاسداران
198,1403,3,Yes,Yes,Yes,239898000,,دروس
55,1396,1,Yes,No,Yes,2500000000,14.0,جیحون
78,1384,2,No,Yes,Yes,7480000000,2.0,جنت‌آباد جنوبی
157,1382,3,Yes,Yes,Yes,29999000000,25.0,دروس
200,1385,3,Yes,Yes,Yes,34500000000,66.0,دروس
160,1395,3,Yes,Yes,Yes,33600000000,25.0,پاسداران
96,1395,2,Yes,Yes,Yes,6390000000,44.0,جیحون
240,1403,3,Yes,Yes,Yes,77000000000,25.0,پاسداران
114,1398,2,Yes,Yes,Yes,236842000,,نیاوران
73,1386,2,No,No,Yes,3600000000,34.0,بهداشت
47,1384,1,No,No,Yes,3100000000,24.0,امیر بهادر
46,1390,1,No,No,Yes,2500000000,34.0,جیحون
50,1387,1,Yes,Yes,Yes,91000000,,آذربایجان
40,1395,1,Yes,Yes,Yes,67500000,,جیحون
56,1400,1,Yes,Yes,Yes,6450000000,3.0,پونک
150,1398,3,Yes,Yes,Yes,123333000,,سیدخندان
79,1385,2,No,No,Yes,67088000,,سازمان آب
41,1399,1,No,Yes,Yes,30487000,,شهر زیبا
70,1385,1,Yes,Yes,Yes,10900000000,1.0,میرداماد
135,1403,2,Yes,Yes,Yes,33600000000,45.0,میرداماد
135,1400,2,Yes,Yes,Yes,21500000000,33.0,یوسف‌آباد
90,1397,2,Yes,Yes,Yes,7180000000,24.0,سلسبیل
110,1388,3,Yes,Yes,Yes,11900000000,3.0,جنت‌آباد مرکزی
86,1400,2,Yes,Yes,Yes,17200000000,1.0,میرداماد
76,1375,2,No,No,No,2800000000,2.0,ظهیرآباد
176,1403,3,Yes,Yes,Yes,278409000,,دروس
140,1403,3,Yes,Yes,Yes,23800000000,45.0,جلفا
203,1403,3,Yes,Yes,Yes,58000000000,5.0,پاسداران
45,1401,1,Yes,Yes,Yes,1230000000,24.0,اندیشه (شهر زیبا)
72,1388,2,Yes,Yes,Yes,6900000000,25.0,سازمان برنامه
200,1402,3,Yes,Yes,Yes,40000000000,3.0,یوسف‌آباد
198,1403,3,Yes,Yes,Yes,51400000000,3.0,میرداماد
116,1395,2,Yes,Yes,Yes,150000000,,یوسف‌آباد
145,1400,3,Yes,Yes,Yes,111111111,35.0,سیدخندان
