area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district,district_encoded,price_standardized,building_age
92,1370,2,0,1,0,10500000000,23,گیشا (کوی نصر),274,-0.1613439861097683,33
250,1397,4,1,1,1,50000000000,4,سعادت‌آباد,127,2.5657461568121898,6
131,1396,3,1,1,1,28000000000,1,شهرک غرب,162,1.0468605075898334,7
100,1399,2,1,1,1,12000000000,5,باغ فیض,42,-0.057783600935516745,4
90,1402,2,1,1,1,5500000000,4,جی,75,-0.5065452700239402,1
73,1392,2,0,1,1,1460000000,3,حسن‌آباد,78,-0.7854679074265911,11
246,1397,3,1,1,1,49500000000,16,ولنجک,247,2.5312260284207726,6
74,1380,2,0,1,1,7230000000,4,کوی مهران,266,-0.38710562578963675,23
91,1398,2,1,1,0,4550000000,25,مقدم,217,-0.5721335139676329,5
250,1393,3,1,1,1,55000000000,88,پاسداران,250,2.910947440726362,10
55,1396,1,1,0,1,2500000000,14,جیحون,76,-0.7136660403724433,7
78,1384,2,0,1,1,7480000000,2,جنت‌آباد جنوبی,68,-0.3698455615939281,19
157,1382,3,1,1,1,29999000000,25,دروس,102,1.1848719808987191,21
200,1385,3,1,1,1,34500000000,66,دروس,102,1.495622176678257,18
160,1395,3,1,1,1,33600000000,25,پاسداران,250,1.433485945573706,8
96,1395,2,1,1,1,6390000000,44,جیحون,76,-0.44509944148721764,8
240,1403,3,1,1,1,77000000000,25,پاسداران,250,4.429833089948718,0
73,1386,2,0,0,1,3600000000,34,بهداشت,49,-0.6377217579113256,17
47,1384,1,0,0,1,3100000000,24,امیر بهادر,30,-0.6722418863027427,19
46,1390,1,0,0,1,2500000000,34,جیحون,76,-0.7136660403724433,13
56,1400,1,1,1,1,6450000000,3,پونک,254,-0.44095702608024756,3
70,1385,1,1,1,1,10900000000,1,میرداماد,224,-0.13372788339663455,18
135,1403,2,1,1,1,33600000000,45,میرداماد,224,1.433485945573706,0
135,1400,2,1,1,1,21500000000,33,یوسف‌آباد,276,0.5980988385014099,3
90,1397,2,1,1,1,7180000000,24,سلسبیل,129,-0.39055763862877846,6
110,1388,3,1,1,1,11900000000,3,جنت‌آباد مرکزی,70,-0.06468762661380019,15
86,1400,2,1,1,1,17200000000,1,میرداماد,224,0.30122573433522204,3
76,1375,2,0,0,0,2800000000,2,ظهیرآباد,190,-0.6929539633375931,28
140,1403,3,1,1,1,23800000000,45,جلفا,63,0.756891429101929,0
203,1403,3,1,1,1,58000000000,5,پاسداران,250,3.1180682110748648,0
45,1401,1,1,1,1,1230000000,24,اندیشه (شهر زیبا),33,-0.8013471664866431,2
72,1388,2,1,1,1,6900000000,25,سازمان برنامه,121,-0.4098889105279721,15
200,1402,3,1,1,1,40000000000,3,یوسف‌آباد,276,1.875343588983846,1
198,1403,3,1,1,1,51400000000,3,میرداماد,224,2.6624025163081577,0
137,1398,3,1,1,1,16100000000,1,جنت‌آباد جنوبی,68,0.2252814518741042,5
53,1385,1,0,1,1,5500000000,24,مدائن,213,-0.5065452700239402,18
150,1403,3,1,1,1,24000000000,24,سیدخندان,135,0.7706994804584958,0
145,1400,3,1,1,1,22500000000,35,یوسف‌آباد,276,0.6671390952842442,3
115,1383,3,1,1,1,13500000000,15,سیدخندان,135,0.045776784238734824,20
83,1393,2,1,0,0,8300000000,55,زنجان,117,-0.3132325510320039,10
130,1400,3,1,1,1,20800000000,15,سیدخندان,135,0.5497706587534258,3
100,1370,4,0,0,1,6850000000,12,جیحون,76,-0.4133409233671138,33
155,1385,3,1,1,1,19000000000,46,یوسف‌آباد,276,0.4254981965443239,18
66,1397,1,1,1,1,5900000000,15,استخر,19,-0.4789291673108065,6
124,1390,3,1,1,1,16700000000,25,یوسف‌آباد,276,0.2667056059438048,13
40,1390,1,0,0,0,2100000000,1,گمرک,273,-0.741282143085577,13
53,1394,1,1,1,1,2550000000,25,مسعودیه,215,-0.7102140275333017,9
87,1402,2,1,1,1,10600000000,615,کوی فردوس,265,-0.15443996043148486,1
50,1389,1,0,1,1,3370000000,44,جیحون,76,-0.6536010169713774,14
56,1402,1,1,0,0,5480000000,15,زاهد گیلانی,114,-0.5079260751595969,1
68,1386,2,0,0,1,3040000000,24,مسعودیه,215,-0.6763843017097128,17
86,1390,2,1,1,1,10380000000,35,پونک,254,-0.16962881692370843,13
59,1403,1,1,1,1,7550000000,44,نیرو هوایی,237,-0.3650127436191297,0
