Link,Area,Year of Building,Number of Rooms,Elevator,Parking,Storage,Bale,Price,Tabaghe,Subtitle
https://divar.ir/v/%DB%B9%DB%B2%D9%85%D8%AA%D8%B1-%D8%A8%D8%B1%D8%A7%D8%B5%D9%84%DB%8C-%D8%AC%D9%84%D8%A7%D9%84-%D8%A2%D9%84-%D8%A7%D8%AD%D9%85%D8%AF-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C-%D8%AA%D8%AC%D8%A7%D8%B1%DB%8C-%D8%B3%D8%B1%D8%AA%D8%A7%D8%B3%D8%B1-%D9%BE%D9%86%D8%AC%D8%B1%D9%87/wZL6Ya3F,۹۲,قبل از ۱۳۷۰,۲,آسانسور ندارد,پارکینگ,انباری ندارد,بله,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۳,۴ روز پیش در تهران، گیشا (کوی نصر)
https://divar.ir/v/%D8%A7%D8%B3%D8%AA%D8%AB%D9%86%D8%A7%DB%8C%DB%8C-%D8%AA%D8%B1%DB%8C%D9%86-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B2%DB%B5%DB%B0%D9%85%D8%AA%D8%B1%DB%8C%DB%B4-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%B3%D8%B9%D8%A7%D8%AF%D8%AA-%D8%A2%D8%A8%D8%A7%D8%AF/wZS-lL1o,۲۵۰,۱۳۹۷,۴,آسانسور,پارکینگ,انباری,بله,۵۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴,۲۲ ساعت پیش در تهران، سعادت‌آباد
https://divar.ir/v/%D8%B4%D9%87%D8%B1%DA%A9-%D8%BA%D8%B1%D8%A8-%DB%B1%DB%B3%DB%B1-%D9%85%D8%AA%D8%B1-%D9%BE%D9%86%D8%AC%D8%B1%D9%87-%D9%87%D8%A7%DB%8C-%D9%82%D8%AF%DB%8C-%D9%BE%D8%A7%D8%B3%DB%8C%D9%88-%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%DB%8C/wZDOHw9D,۱۳۱,۱۳۹۶,۳,آسانسور,پارکینگ,انباری,بله,۲۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱,لحظاتی پیش در تهران، شهرک غرب
https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%A8%D8%A7%D8%BA-%D9%81%DB%8C%D8%B6/wZT6pnnA,۱۰۰,۱۳۹۹,۲,آسانسور,پارکینگ,انباری,بله,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵,لحظاتی پیش در تهران، باغ فیض
https://divar.ir/v/%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%DA%A9%D9%84%DB%8C%D8%AF%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%B3%D9%86%D8%AF%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87/wZT64hOn,۹۰,۱۴۰۲,۲,آسانسور,پارکینگ,انباری,بله,۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴,لحظاتی پیش در تهران، جی
https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B3-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%AD%D8%B3%D9%86-%D8%A2%D8%A8%D8%A7%D8%AF-%D9%81%D8%B4%D8%A7%D9%81%D9%88%DB%8C%D9%87/wZT-JeSp,۷۳,۱۳۹۲,۲,آسانسور ندارد,پارکینگ,انباری,بله,۱٬۴۶۰٬۰۰۰٬۰۰۰ تومان,۳,لحظاتی پیش در تهران، حسن‌آباد
https://divar.ir/v/%D9%86%DB%8C%D8%A7%D9%88%D8%B1%D8%A7%D9%86-%DB%B2%DB%B3%DB%B0-%D9%85%D8%AA%D8%B1-%D8%A8%D8%B1-%D9%81%D8%B1%D8%A7%D8%B2-%D8%A7%D8%A8%D8%B1%D9%87%D8%A7/wZT-pXlT,۲۳۰,۱۳۹۸,۳,آسانسور,پارکینگ,انباری,nan,۲۹۳٬۴۷۸٬۰۰۰ تومان,nan,لحظاتی پیش در تهران، نیاوران
https://divar.ir/v/%DB%B3%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1-%D9%BE%D9%86%D8%AA-%D9%87%D8%A7%D9%88%D8%B3-%D8%A8%D8%B1%D8%A7%DB%8C-%DA%A9%D8%B3%D8%A7%D9%86%DB%8C-%DA%A9%D9%87-%D8%A8%D9%87-%DA%A9%D9%85-%D8%B1%D8%A7%D8%B6%DB%8C-%D9%86%D9%85%DB%8C-%D8%B4%D9%88%D9%86%D8%AF/wZw0tHMy,۳۰۰,۱۴۰۳,۳,آسانسور,پارکینگ,انباری,بله,۹۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵,لحظاتی پیش در تهران، سعادت‌آباد
https://divar.ir/v/%DB%B1%DB%B1%DB%B6%D9%85%D8%AA%D8%B1%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-%D8%AF%DB%8C%D8%A8%D8%A7%D8%AC%DB%8C-%D8%AC%D9%86%D9%88%D8%A8%DB%8C/wZUpnGS9,۱۱۶,۱۳۸۵,۲,آسانسور ندارد,پارکینگ,انباری,nan,۸۰٬۱۷۲٬۰۰۰ تومان,nan,لحظاتی پیش در تهران، اختیاریه
https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D8%B1-%D9%BE%D8%B1%D9%86%D8%AF-%D9%81%D8%A7%D8%B2-%DB%B7-%D9%BE%D8%B1%D9%86%D8%AF/wZT-ZaPW,۹۵,۱۴۰۳,۲,آسانسور,پارکینگ,انباری,nan,۱٬۵۷۸٬۰۰۰ تومان,nan,لحظاتی پیش در تهران، شیخ هادی
